event_date,site_id,total_events,unique_devices_reporting,critical_alerts,avg_signal_strength
2026-05-02,S001,98,20,10,-64.59782608695652
2026-05-02,S002,41,8,2,-65.92307692307692
2026-05-02,S003,96,17,11,-64.05434782608695
2026-05-02,S004,60,12,5,-68.45614035087719
2026-05-02,S005,39,8,2,-68.52777777777777
2026-05-02,S006,31,8,7,-72.24137931034483
2026-05-02,S007,47,11,5,-59.28888888888889
2026-05-02,S008,64,11,5,-66.56666666666666
2026-05-02,S009,81,16,7,-63.860759493670884
2026-05-02,S010,62,16,4,-64.01694915254237
2026-05-02,S011,80,14,11,-61.883116883116884
2026-05-02,S012,61,13,7,-64.51724137931035
2026-05-02,S013,60,13,8,-63.96551724137931
2026-05-02,S014,56,11,9,-61.34
2026-05-03,S001,229,20,19,-65.43438914027149
2026-05-03,S002,89,8,8,-64.51807228915662
2026-05-03,S003,194,17,14,-65.63874345549738
2026-05-03,S004,162,12,11,-63.12658227848101
2026-05-03,S005,91,8,6,-64.51685393258427
2026-05-03,S006,108,8,7,-66.29807692307692
2026-05-03,S007,118,11,6,-64.27826086956522
2026-05-03,S008,133,11,11,-68.02307692307693
2026-05-03,S009,193,16,16,-67.38378378378378
2026-05-03,S010,203,16,16,-65.36082474226804
2026-05-03,S011,184,14,18,-66.4971098265896
2026-05-03,S012,168,14,19,-65.72560975609755
2026-05-03,S013,128,13,10,-62.25
2026-05-03,S014,139,12,11,-64.23134328358209
2026-05-04,S001,212,20,18,-65.01951219512195
2026-05-04,S002,86,8,8,-65.16666666666667
2026-05-04,S003,210,17,16,-64.8423645320197
2026-05-04,S004,141,12,18,-65.33333333333333
2026-05-04,S005,95,8,15,-63.08695652173913
2026-05-04,S006,95,8,10,-63.95652173913044
2026-05-04,S007,142,11,17,-66.73333333333333
2026-05-04,S008,133,11,9,-62.9296875
2026-05-04,S009,193,16,10,-64.63636363636364
2026-05-04,S010,170,16,14,-65.30538922155688
2026-05-04,S011,165,14,16,-64.05696202531645
2026-05-04,S012,159,14,23,-65.35099337748345
2026-05-04,S013,153,13,16,-64.0
2026-05-04,S014,145,12,14,-64.73049645390071
2026-05-05,S001,223,20,14,-64.54545454545455
2026-05-05,S002,114,8,12,-63.971698113207545
2026-05-05,S003,208,17,13,-64.63076923076923
2026-05-05,S004,143,12,15,-64.16296296296296
2026-05-05,S005,90,8,8,-64.34939759036145
2026-05-05,S006,102,8,12,-65.9795918367347
2026-05-05,S007,113,11,16,-62.86607142857143
2026-05-05,S008,145,11,11,-66.41605839416059
2026-05-05,S009,183,16,15,-64.62352941176471
2026-05-05,S010,210,16,23,-65.52216748768473
2026-05-05,S011,169,14,22,-66.47770700636943
2026-05-05,S012,177,14,22,-64.37209302325581
2026-05-05,S013,159,13,17,-68.5359477124183
2026-05-05,S014,123,12,8,-68.3913043478261
2026-05-06,S001,244,20,21,-62.81896551724138
2026-05-06,S002,101,8,9,-62.354166666666664
2026-05-06,S003,204,17,19,-66.70744680851064
2026-05-06,S004,154,12,9,-63.89795918367347
2026-05-06,S005,93,8,9,-65.0111111111111
2026-05-06,S006,118,8,10,-67.20370370370371
2026-05-06,S007,131,11,13,-64.18897637795276
2026-05-06,S008,114,11,8,-66.68468468468468
2026-05-06,S009,217,16,19,-66.3173076923077
2026-05-06,S010,187,16,19,-63.25139664804469
2026-05-06,S011,168,14,17,-62.84662576687116
2026-05-06,S012,169,14,13,-68.65189873417721
2026-05-06,S013,159,13,18,-62.064935064935064
2026-05-06,S014,155,12,12,-63.92617449664429
2026-05-07,S001,244,20,18,-64.34782608695652
2026-05-07,S002,101,8,8,-65.57142857142857
2026-05-07,S003,183,17,16,-64.23391812865498
2026-05-07,S004,128,12,12,-63.45454545454545
2026-05-07,S005,93,8,8,-65.29545454545455
2026-05-07,S006,100,8,9,-65.75268817204301
2026-05-07,S007,112,11,10,-61.73831775700935
2026-05-07,S008,151,11,17,-65.13793103448276
2026-05-07,S009,191,16,17,-63.65555555555556
2026-05-07,S010,184,16,16,-63.23033707865169
2026-05-07,S011,155,14,14,-62.98
2026-05-07,S012,166,14,12,-64.40880503144655
2026-05-07,S013,176,13,7,-66.20359281437126
2026-05-07,S014,159,12,8,-66.32051282051282
2026-05-08,S001,230,20,18,-65.0909090909091
2026-05-08,S002,85,8,9,-64.91463414634147
2026-05-08,S003,210,17,20,-64.29064039408867
2026-05-08,S004,140,12,12,-63.08270676691729
2026-05-08,S005,88,8,12,-67.96470588235294
2026-05-08,S006,88,8,13,-59.28735632183908
2026-05-08,S007,128,11,14,-67.54838709677419
2026-05-08,S008,135,11,12,-63.5
2026-05-08,S009,208,16,13,-65.05970149253731
2026-05-08,S010,211,16,14,-63.299019607843135
2026-05-08,S011,154,14,23,-62.46527777777778
2026-05-08,S012,178,14,14,-62.37647058823529
